,Date,User,Tweet
65,2022-08-10 06:36:34+00:00,dinda_fenti,"Kasus Positif Covid-19 Anak Meningkat, Epidemiolog Ingatkan Pentingnya Vaksinasi dan Prokes | NKRI Bangsa Kuat #RiauDamai https://t.co/GH97CRHEsC."
66,2022-08-10 06:36:16+00:00,dinda_fenti,Sri Sultan HB X Minta Masyarakat Jalani Vaksinasi Booster untuk Tekan Penularan Covid-19 | NKRI Bangsa Kuat #RiauDamai https://t.co/N9r5MZUiYL.
67,2022-08-10 06:35:57+00:00,dinda_fenti,Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19 | NKRI Bangsa Kuat #RiauDamai https://t.co/jzUNHtkmj5
68,2022-08-10 06:34:20+00:00,PolresKutim,Personil Polsek Muara Ancalong Pantau Pelaksanaan Percepatan Vaksinasi Covid-19 https://t.co/wrvR6lzcXd
69,2022-08-10 06:22:33+00:00,ahmadir17321659,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
70,2022-08-10 06:21:52+00:00,AdrianiRimna,"Pandemi membuat semua orang mencari cara untuk selamat dari ancaman Corona. Selain mematuhi protokol kesehatan, mendapatkan vaksinasi adalah syarat mutlak agar tidak tertular virus Covid-19. 
NKRI Bangsa Kuat"
71,2022-08-10 06:16:14+00:00,Presiden_bcd,"RT @Aurorabianca000: Tingkatkan kekebalan tubuh dg Vaksinasi Covid-19

#DukungVaksinBoosterKedua
Kapolri Top"
72,2022-08-10 06:13:35+00:00,DiaraErfan,"Pemerintah Kota (Pemko) Medan melalui Dinas Kesehatan terus mengejar angka Vaksinasi Covid-19 di Kota Medan. 
NKRI Bangsa Kuat"
73,2022-08-10 06:06:22+00:00,AdrisaRifana,"Pandemi membuat semua orang mencari cara untuk selamat dari ancaman Corona. Selain mematuhi protokol kesehatan, mendapatkan vaksinasi adalah syarat mutlak agar tidak tertular virus Covid-19."
74,2022-08-10 06:01:07+00:00,kembang_asem,"RT @GratisTerbaik: Are you ready @jokowi ?
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" akan diajukan hari rabu besok tgl 10 Agustus…"
75,2022-08-10 05:59:32+00:00,KangCendol_33,"RT @chinta_chintata: Penularan virus covid-19 bisa terjadi pada siapa saja dan kapan pun, termasuk mereka yang sudah mendapatkan vaksinasi.…"
76,2022-08-10 05:57:39+00:00,eryani_bl,"RT @DKIJakarta: [TERBARU] Penanganan #COVID19 di Jakarta.
(1/2) Update Data Vaksinasi, Tes PCR, Tes Antigen, dan Kasus Covid-19, per 9 Agus…"
77,2022-08-10 05:57:13+00:00,PolsekCangkuang,"Iptu Aa Suminta, SH. Kapolsek Cangkuang Polresta Bandung, Terus Monitor Perkembangan percepatan Vaksinasi Covid-19
...
@humaspoldajbr
@polrestabandung 
@DitBinmasJbr
@diskominfobdgkabbdg 
@Binmassoreang
@ddhumaspoldajabar
@infotibanjaran2018 
@klinikratnasarisehat
@dr_ratna_sh https://t.co/LkgTV0e9tF"
78,2022-08-10 05:57:11+00:00,eryani_bl,"RT @WHOIndonesia: #COVID19 masih terus menyebar.
Vaksinasi #COVID19 melindungi Anda dr risiko opname, penyakit serius, &amp; kematian. Vaksinas…"
79,2022-08-10 05:54:12+00:00,KangCendol_33,"RT @Penyair_Berdiri: Vaksinasi Covid hingga tahap ketiga  Berguna untuk menambah imun tubuh, hingga dapat mencegah penyebaran virus covid i…"
80,2022-08-10 05:53:07+00:00,KangCendol_33,"RT @kalla_jengking: Vaksinasi Covid-19 berguna untuk kekebalan tubuh sehingga dapat mencegah penyebaran virus Covid-19.

Bagi yang sudah di…"
81,2022-08-10 05:51:47+00:00,KangCendol_33,"RT @AlshaibaShihab: Yg belum Vaksinasi, segera lengkapi vaksinasi mu. Krn Vaksinasi covid-19 berguna utk meningkatkan kekebalan tubuh shg d…"
82,2022-08-10 05:41:55+00:00,CirebonPolresta,"Yuk Lakukan Vaksinasi Booster Demi Mendukung Percepatan Vaksinasi Covid-19.

Berikan Pelayanan Terbaik, Polresta Cirebon Terus Gencarkan Vaksinasi.

#vaksinasi #polisiindonesia #poldajabar #polrestacirebon #polisihumanis #presisi #PolriUntukIndonesia #polriantisipasicorona https://t.co/vwXSU2wjKM"
83,2022-08-10 05:39:20+00:00,rockdijey,"Saya bisa ngerti kegamangannya mbak @whatshabb.

Saya juga setuju sama mbak @drlrst, peningkatan kasus covid saat ini dampaknya tidak seberat satu dua tahun lalu. Benefit sekolah PTM jauh melebihi risikonya sepanjang vaksinasi dan upaya-upaya pencegahan lain tetap berjalan."
84,2022-08-10 05:30:19+00:00,Asep90927950,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
85,2022-08-10 05:27:25+00:00,forjakeu,"RT @kalla_jengking: Vaksinasi Covid-19 berguna untuk kekebalan tubuh sehingga dapat mencegah penyebaran virus Covid-19.

Bagi yang sudah di…"
86,2022-08-10 05:26:33+00:00,forjakeu,"RT @chinta_chintata: Penularan virus covid-19 bisa terjadi pada siapa saja dan kapan pun, termasuk mereka yang sudah mendapatkan vaksinasi.…"
87,2022-08-10 05:26:29+00:00,akartiasa,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
88,2022-08-10 05:25:59+00:00,forjakeu,RT @garuda080: Vaksinasi Covid-19 bertujuan untuk membuat sistem kekebalan tubuh mengenali dan mampu melawan virus Covid saat terkena penya…
89,2022-08-10 05:25:43+00:00,forjakeu,"RT @Anggita_lung: Pandemi belum selesai.
Ayo bersama mengendalikan lonjakan kasus Covid-19 dengan disiplin Prokes dan Vaksinasi booster cov…"
90,2022-08-10 05:25:06+00:00,forjakeu,"RT @Penyair_Berdiri: Vaksinasi Covid hingga tahap ketiga  Berguna untuk menambah imun tubuh, hingga dapat mencegah penyebaran virus covid i…"
91,2022-08-10 05:24:32+00:00,forjakeu,"RT @AlshaibaShihab: Yg belum Vaksinasi, segera lengkapi vaksinasi mu. Krn Vaksinasi covid-19 berguna utk meningkatkan kekebalan tubuh shg d…"
92,2022-08-10 05:23:24+00:00,jabarnewss,Nakes Jadi Prioritas Utama Vaksinasi Covid-19 Dosis Keempat https://t.co/M8bXhvw3G2
93,2022-08-10 05:22:57+00:00,rasa2086,"RT @kalla_jengking: Vaksinasi Covid-19 berguna untuk kekebalan tubuh sehingga dapat mencegah penyebaran virus Covid-19.

Bagi yang sudah di…"
94,2022-08-10 05:19:52+00:00,rasa2086,"RT @chinta_chintata: Penularan virus covid-19 bisa terjadi pada siapa saja dan kapan pun, termasuk mereka yang sudah mendapatkan vaksinasi.…"
95,2022-08-10 05:18:20+00:00,ahmad86934922,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
96,2022-08-10 05:16:27+00:00,BismillahTamtam,"RT @GratisTerbaik: Pers Release: Gugatan melawan Presiden, Ketua Satgas Covid-19, Mendagri dan Menhub Tentang Diskriminasi Berdasarkan Stat…"
97,2022-08-10 05:08:36+00:00,medcom_id,"Progres vaksinasi covid-19 bagi lanjut usia (lansia) dan remaja terus dipercepat. Sebanyak 14.766.457 lansia telah menerima vaksin dosis lengkap per Selasa, 9 Agustus 2022

#cekdulumedcom

https://t.co/D24MzWzrHY https://t.co/CvUC9WoFPY"
98,2022-08-10 04:57:34+00:00,disdes19,"Kasus Positif Covid-19 Anak Meningkat, Epidemiolog Ingatkan Pentingnya Vaksinasi dan Prokes
https://t.co/0RL1ytOgbj.

NKRI Bangsa Kuat https://t.co/C4devmkqxf"
99,2022-08-10 04:57:29+00:00,disdes19,"Sri Sultan HB X Minta Masyarakat Jalani Vaksinasi Booster untuk Tekan Penularan Covid-19
https://t.co/pvuPl2k87v.

NKRI Bangsa Kuat https://t.co/C4devmkqxf"
100,2022-08-10 04:57:18+00:00,disdes19,"Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19
https://t.co/jqTuQ7KDtk

NKRI Bangsa Kuat https://t.co/C4devmkqxf"
101,2022-08-10 04:46:46+00:00,jesijacinda,Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19 https://t.co/gdxIfJSOZl
